19,include,"""pngpriv.h""",
4873,if,defined(PNG_READ_BACKGROUND_SUPPORTED) || defined(PNG_READ_ALPHA_MODE_SUPPORTED),
4877,endif,,
4879,ifdef,PNG_READ_GAMMA_SUPPORTED,
4881,ifdef,PNG_READ_RGB_TO_GRAY_SUPPORTED,
4884,endif,,
4885,if,defined(PNG_READ_BACKGROUND_SUPPORTED) || defined(PNG_READ_ALPHA_MODE_SUPPORTED),
4893,endif,,
4899,endif,,
4901,ifdef,PNG_READ_STRIP_ALPHA_SUPPORTED,
4908,endif,,
4910,ifdef,PNG_READ_ALPHA_MODE_SUPPORTED,
4914,endif,,
4916,ifdef,PNG_READ_SCALE_16_TO_8_SUPPORTED,
4919,endif,,
4921,ifdef,PNG_READ_STRIP_16_TO_8_SUPPORTED,
4928,endif,,
4930,ifdef,PNG_READ_QUANTIZE_SUPPORTED,
4939,endif,,/* READ_QUANTIZE */
4941,ifdef,PNG_READ_EXPAND_16_SUPPORTED,
4949,endif,,
4951,ifdef,PNG_READ_GRAY_TO_RGB_SUPPORTED,
4956,endif,,
4958,ifdef,PNG_READ_INVERT_SUPPORTED,
4961,endif,,
4963,ifdef,PNG_READ_INVERT_ALPHA_SUPPORTED,
4966,endif,,
4968,ifdef,PNG_READ_SHIFT_SUPPORTED,
4972,endif,,
4974,ifdef,PNG_READ_PACK_SUPPORTED,
4977,endif,,
4979,ifdef,PNG_READ_CHECK_FOR_INVALID_INDEX_SUPPORTED,
4984,endif,,
4986,ifdef,PNG_READ_BGR_SUPPORTED,
4989,endif,,
4991,ifdef,PNG_READ_PACKSWAP_SUPPORTED,
4994,endif,,
4996,ifdef,PNG_READ_FILLER_SUPPORTED,
5000,endif,,
5002,ifdef,PNG_READ_SWAP_ALPHA_SUPPORTED,
5005,endif,,
5007,ifdef,PNG_READ_16BIT_SUPPORTED,
5008,ifdef,PNG_READ_SWAP_SUPPORTED,
5011,endif,,
5012,endif,,
5014,ifdef,PNG_READ_USER_TRANSFORM_SUPPORTED,
5028,ifdef,PNG_USER_TRANSFORM_PTR_SUPPORTED,
5034,endif,,
5040,endif,,
5043,endif,,/* READ_TRANSFORMS */
5044,endif,,/* READ */
